name,pos,team,adp,proj
Parker Washington,WR,JAX,68.0,167.3
Mike Evans,WR,SF,71.8,148.2
Marvin Harrison Jr.,WR,ARI,77.0,145.6
Brian Thomas Jr.,WR,JAX,83.1,134.5
Carnell Tate,WR,TEN,83.7,140.5
DK Metcalf,WR,PIT,84.9,151.7
Chris Godwin Jr.,WR,TB,91.0,135.0
Alec Pierce,WR,IND,97.8,164.4
Michael Wilson,WR,ARI,97.9,134.7
Josh Downs,WR,IND,101.1,147.8
Quentin Johnston,WR,LAC,103.8,134.6
D. Stribling,WR,SF,105.0,92.4
Stefon Diggs,WR,WAS,106.7,137.3
Jayden Reed,WR,GB,109.5,151.4
Courtland Sutton,WR,DEN,110.2,141.8
Jordan Addison,WR,MIN,113.5,132.8
KC Concepcion,WR,CLE,117.9,119.8
Michael Pittman Jr.,WR,PIT,122.0,143.1
Matthew Golden,WR,GB,122.2,131.5
Makai Lemon,WR,PHI,125.2,110.0
Wan'Dale Robinson,WR,TEN,131.9,133.6
J. Tyson,WR,NO,132.3,90.8
Dontayvion Wicks,WR,PHI,132.5,82.5
Cooper Kupp,WR,SEA,132.9,69.9
Deebo Samuel Sr.,WR,SF,133.7,99.9
Xavier Worthy,WR,KC,133.8,123.2
Rashid Shaheed,WR,SEA,133.8,112.9
Khalil Shakir,WR,BUF,134.0,126.3
Kayshon Boutte,WR,HOU,134.5,110.2
Romeo Doubs,WR,NE,135.0,130.4
Jalen Coker,WR,CAR,135.1,126.8
Keenan Allen,WR,IND,135.2,94.0
Jakobi Meyers,WR,JAX,136.1,133.3
Tre Tucker,WR,LV,136.5,99.2
D. Boston,WR,CLE,136.7,103.1
Jauan Jennings,WR,MIN,999,96.0
Jalen Nailor,WR,LV,999,96.4
Brock Bowers,TE,LV,20.5,181.4
Trey McBride,TE,ARI,29.4,190.0
Colston Loveland,TE,CHI,38.1,163.1
Tyler Warren,TE,IND,46.1,167.3
Tucker Kraft,TE,GB,59.3,157.7
Sam LaPorta,TE,DET,64.2,142.8
Harold Fannin Jr.,TE,CLE,71.9,141.8
Kyle Pitts Sr.,TE,ATL,73.0,139.5
George Kittle,TE,SF,80.3,130.5
Dalton Kincaid,TE,BUF,97.4,118.1
Travis Kelce,TE,KC,98.3,132.4
Dallas Goedert,TE,PHI,103.7,126.2
Isaiah Likely,TE,NYG,109.3,114.8
Mark Andrews,TE,BAL,115.1,130.3
Juwan Johnson,TE,NO,123.1,110.3
Jake Ferguson,TE,DAL,123.1,122.7
Dalton Schultz,TE,HOU,129.4,114.5
Chig Okonkwo,TE,WAS,130.5,98.4
T. Ferguson,TE,LAR,131.3,79.7
Hunter Henry,TE,NE,131.4,124.3
Brenton Strange,TE,JAX,134.5,109.7
AJ Barner,TE,SEA,131.9,99.3
Oronde Gadsden,TE,LAC,134.6,54.4
T.J. Hockenson,TE,MIN,135.8,99.7
Greg Dulcich,TE,MIA,136.0,106.5
Cade Otton,TE,TB,999,86.8
Rams,DEF,LAR,89.3,150.5
Texans,DEF,HOU,99.3,148.5
Broncos,DEF,DEN,105.7,152.6
Seahawks,DEF,SEA,112.2,151.2
Eagles,DEF,PHI,124.5,143.1
Vikings,DEF,MIN,133.0,140.1
Patriots,DEF,NE,133.4,143.2
Ravens,DEF,BAL,137.9,134.8
Jaguars,DEF,JAX,137.4,132.9
Steelers,DEF,PIT,138.5,130.3
Bengals,DEF,CIN,138.7,122.3
Packers,DEF,GB,139.4,127.8
Cowboys,DEF,DAL,139.5,113.5
Chiefs,DEF,KC,139.9,130.9
Lions,DEF,DET,140.4,133.1
Chargers,DEF,LAC,140.5,131.3
Bills,DEF,BUF,135.2,131.0
49ers,DEF,SF,134.6,115.6
Bears,DEF,CHI,135.8,124.9
Giants,DEF,NYG,136.4,115.8
Brandon Aubrey,K,DAL,94.5,142.5
Ka'imi Fairbairn,K,HOU,120.2,138.2
Jason Myers,K,SEA,123.4,138.0
Cameron Dicker,K,LAC,127.1,139.6
Cam Little,K,JAX,134.4,136.2
Harrison Mevis,K,LAR,134.6,143.7
Tyler Loop,K,BAL,137.9,135.2
Nick Folk,K,ATL,139.0,126.7
Chris Boswell,K,PIT,139.2,131.0
Harrison Butker,K,KC,139.3,134.6
Jake Elliott,K,PHI,139.7,129.3
T. Smack,K,GB,140.0,134.0
Spencer Shrader,K,IND,140.1,140.8
Tyler Bass,K,BUF,140.1,138.2
Andres Borregales,K,NE,140.6,130.8
Wil Lutz,K,DEN,141.1,132.2
Jake Bates,K,DET,142.1,139.2
Eddy Pineiro,K,SF,142.5,136.1
Will Reichard,K,MIN,142.6,133.5
Evan McPherson,K,CIN,142.6,134.7
Chase McLaughlin,K,TB,142.8,132.4
Cairo Santos,K,CHI,144.7,134.0
