key,name,pos,team,bye,std,half_ppr,ppr
downs_WR_IND,Josh Downs,WR,IND,13,101.2,,92.5
shaheed_WR_SEA,Rashid Shaheed,WR,SEA,11,104.0,,131.9
corum_RB_LAR,Blake Corum,RB,LAR,11,105.8,132.2,120.2
herbert_QB_LAC,Justin Herbert,QB,LAC,7,107.2,115.2,104.8
jacobs_RB_GB,Josh Jacobs,RB,GB,11,107.9,,101.1
nix_QB_DEN,Bo Nix,QB,DEN,10,109.2,,104.6
lloyd_RB_GB,MarShawn Lloyd,RB,GB,11,110.8,115.3,111.3
jones_RB_MIN,Aaron Jones Sr.,RB,MIN,6,111.7,,92.3
concepcion_WR_CLE,KC Concepcion Jr.,WR,CLE,11,112.7,114.4,120.2
lemon_WR_PHI,Makai Lemon,WR,PHI,10,113.5,,125.1
mahomes_QB_KC,Patrick Mahomes,QB,KC,5,117.0,102.2,110.0
stribling_WR_SF,De'Zhaun Stribling,WR,SF,8,117.7,126.9,124.5
aubrey_K_DAL,Brandon Aubrey,K,DAL,14,118.4,134.9,124.0
white_RB_WSH,Rachaad White,RB,WSH,7,120.6,,137.8
pitts_TE_ATL,Kyle Pitts Sr.,TE,ATL,11,120.7,,86.6
jeudy_WR_CLE,Jerry Jeudy,WR,CLE,11,121.8,,135.8
mcmillan_WR_TB,Jalen McMillan,WR,TB,10,124.4,,140.4
gainwell_RB_TB,Kenny Gainwell,RB,TB,10,125.3,,96.9
dart_QB_NYG,Jaxson Dart,QB,NYG,8,128.5,,122.0
charbonnet_RB_SEA,Zach Charbonnet,RB,SEA,11,129.8,,139.5
ridley_WR_TEN,Calvin Ridley,WR,TEN,9,132.3,,159.9
bateman_WR_BAL,Rashod Bateman,WR,BAL,13,133.0,,
marks_RB_HOU,Woody Marks,RB,HOU,8,133.8,140.4,137.0
boutte_WR_HOU,Kayshon Boutte,WR,HOU,8,136.0,,154.6
mayfield_QB_TB,Baker Mayfield,QB,TB,10,136.4,,129.9
kelce_TE_KC,Travis Kelce,TE,KC,5,137.4,130.6,109.1
murray_QB_MIN,Kyler Murray,QB,MIN,6,140.6,,131.6
washington_RB_LV,Mike Washington Jr.,RB,LV,13,143.7,,142.7
kincaid_TE_BUF,Dalton Kincaid,TE,BUF,7,145.8,,137.5
allen_WR_IND,Keenan Allen,WR,IND,13,150.2,,148.0
kupp_WR_SEA,Cooper Kupp,WR,SEA,11,155.4,,170.2
bills_DST_BUF,Bills,DST,BUF,7,157.0,,158.0
likely_TE_NYG,Isaiah Likely,TE,NYG,8,158.7,,143.5
steelers_DST_PIT,Steelers,DST,PIT,9,164.7,,153.9
robinson_RB_ATL,Bijan Robinson,RB,ATL,11,,3.0,2.1
collins_WR_HOU,Nico Collins,WR,HOU,8,,20.6,18.9
kraft_TE_GB,Tucker Kraft,TE,GB,11,,89.8,104.5
love_QB_GB,Jordan Love,QB,GB,11,,129.8,140.0
butker_K_KC,Harrison Butker,K,KC,5,,164.4,149.4
london_WR_ATL,Drake London,WR,ATL,11,,,13.1
rice_WR_KC,Rashee Rice,WR,KC,5,,,17.0
pickens_WR_DAL,George Pickens,WR,DAL,14,,,21.6
williams_WR_DET,Jameson Williams,WR,DET,6,,,44.2
jackson_QB_BAL,Lamar Jackson,QB,BAL,13,,,55.5
warren_RB_PIT,Jaylen Warren,RB,PIT,9,,,60.9
prescott_QB_DAL,Dak Prescott,QB,DAL,14,,,67.4
kittle_TE_SF,George Kittle,TE,SF,8,,,77.1
