key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
fields_QB_KC,Justin Fields,QB,KC,1,148,1,0,21,,,,,0,,,,,,,,,,,,
mccarthy_QB_MIN,J.J. McCarthy,QB,MIN,1,137,1,0,19,,,,,0,,,,,,,,,,,,
dalton_QB_PHI,Andy Dalton,QB,PHI,1,140,0,0,23,,,,,1,,,,,,,,,,,,
payton_QB_PHI,Cole Payton,QB,PHI,1,105,0,0,10,,,,,0,,,,,,,,,,,,
milroe_QB_SEA,Jalen Milroe,QB,SEA,1,89,0,0,14,,,,,0,,,,,,,,,,,,
klubnik_QB_NYJ,Cade Klubnik,QB,NYJ,1,90,0,0,9,,,,,0,,,,,,,,,,,,
pickett_QB_CAR,Kenny Pickett,QB,CAR,1,135,1,0,22,,,,,0,,,,,,,,,,,,
cook_QB_MIA,Brady Cook,QB,MIA,1,124,1,0,19,,,,,0,,,,,,,,,,,,
flacco_QB_CIN,Joe Flacco,QB,CIN,1,174,1,0,16,,,,,1,,,,,,,,,,,,
winston_QB_NYG,Jameis Winston,QB,NYG,1,143,1,0,22,,,,,1,,,,,,,,,,,,
mccord_QB_MIA,Kyle McCord,QB,MIA,1,93,1,0,8,,,,,0,,,,,,,,,,,,
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,,,,16,1435,75,5,633,,1,,,,,,,,,,,,
robinson_RB_ATL,Bijan Robinson,RB,ATL,,,,9,1400,71,4,701,,2,,,,,,,,,,,,
taylor_RB_IND,Jonathan Taylor,RB,IND,,,,15,1582,42,2,344,,2,,,,,,,,,,,,
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,,,,8,1008,75,5,688,,1,,,,,,,,,,,,
achane_RB_MIA,De'Von Achane,RB,MIA,,,,7,1129,76,6,551,,1,,,,,,,,,,,,
brown_RB_CIN,Chase Brown,RB,CIN,,,,9,1008,73,5,472,,1,,,,,,,,,,,,
henry_RB_BAL,Derrick Henry,RB,BAL,,,,15,1656,17,1,171,,2,,,,,,,,,,,,
cook_RB_BUF,James Cook,RB,BUF,,,,9,1435,32,2,273,,3,,,,,,,,,,,,
barkley_RB_PHI,Saquon Barkley,RB,PHI,,,,7,1374,41,2,314,,1,,,,,,,,,,,,
walker_RB_KC,Kenneth Walker III,RB,KC,,,,8,1205,47,0,360,,1,,,,,,,,,,,,
skattebo_RB_NYG,Cam Skattebo,RB,NYG,,,,9,907,43,4,351,,2,,,,,,,,,,,,
jeanty_RB_LV,Ashton Jeanty,RB,LV,,,,8,875,49,5,300,,1,,,,,,,,,,,,
etienne_RB_NO,Travis Etienne,RB,NO,,,,5,992,48,5,362,,1,,,,,,,,,,,,
