key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
williams_WR_CIN,Ke'Shawn Williams,WR,CIN,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
wester_WR_BAL,LaJohntay Wester,WR,BAL,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
price_WR_MIN,Myles Price,WR,MIN,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
duvernay_WR_ARI,Devin Duvernay,WR,ARI,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
remigio_WR_KC,Nikko Remigio,WR,KC,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
knight_RB_ARI,Bam Knight,RB,ARI,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
laube_RB_LV,Dylan Laube,RB,LV,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
allen_RB_JAX,LeQuint Allen Jr.,RB,JAX,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
moore_WR_GB,Skyy Moore,WR,GB,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
badie_RB_DEN,Tyler Badie,RB,DEN,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
brooks_WR_ARI,Jalen Brooks,WR,ARI,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
bowers_TE_LV,Brock Bowers,TE,LV,,,,,,,,,,,,,,,,,,,,,,
henderson_RB_NE,TreVeyon Henderson,RB,NE,,,,,,,,,,,,,,,,,,,,,,
jacobs_RB_GB,Josh Jacobs,RB,GB,,,,,,,,,,,,,,,,,,,,,,
charbonnet_RB_SEA,Zach Charbonnet,RB,SEA,,,,,,,,,,,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,,,,,,,,,,,,,,,,,,,,
tyson_WR_NO,Jordyn Tyson,WR,NO,,,,,,,,,,,,,,,,,,,,,,
pacheco_RB_DET,Isiah Pacheco,RB,DET,,,,,,,,,,,,,,,,,,,,,,
dell_WR_HOU,Tank Dell,WR,HOU,,,,,,,,,,,,,,,,,,,,,,
higgins_WR_HOU,Jayden Higgins,WR,HOU,,,,,,,,,,,,,,,,,,,,,,
pearsall_WR_SF,Ricky Pearsall,WR,SF,,,,,,,,,,,,,,,,,,,,,,
conner_RB_ARI,James Conner,RB,ARI,,,,,,,,,,,,,,,,,,,,,,
calcaterra_TE_PHI,Grant Calcaterra,TE,PHI,,,,,,,,,,,,,,,,,,,,,,
wallace_WR_CLE,Tylan Wallace,WR,CLE,,,,,,,,,,,,,,,,,,,,,,
tipton_WR_NO,Mason Tipton,WR,NO,,,,,,,,,,,,,,,,,,,,,,
olszewski_WR_NYG,Gunner Olszewski,WR,NYG,,,,,,,,,,,,,,,,,,,,,,
jones_WR_MIN,Jeshaun Jones,WR,MIN,,,,,,,,,,,,,,,,,,,,,,
oconnell_QB_LV,Aidan O'Connell,QB,LV,,,,,,,,,,,,,,,,,,,,,,
royer_TE_CLE,Joe Royer,TE,CLE,,,,,,,,,,,,,,,,,,,,,,
polk_WR_NO,Ja'Lynn Polk,WR,NO,,,,,,,,,,,,,,,,,,,,,,
meeks_TE_DET,Jackson Meeks,TE,DET,,,,,,,,,,,,,,,,,,,,,,
woods_TE_NYJ,Jelani Woods,TE,NYJ,,,,,,,,,,,,,,,,,,,,,,
collier_RB_LV,Chris Collier,RB,LV,,,,,,,,,,,,,,,,,,,,,,
morris_TE_JAX,Quintin Morris,TE,JAX,,,,,,,,,,,,,,,,,,,,,,
reiman_TE_ARI,Tip Reiman,TE,ARI,,,,,,,,,,,,,,,,,,,,,,
sims_TE_MIA,Ben Sims,TE,MIA,,,,,,,,,,,,,,,,,,,,,,
hill_TE_NE,Julian Hill,TE,NE,,,,,,,,,,,,,,,,,,,,,,
weaver_WR_ARI,Xavier Weaver,WR,ARI,,,,,,,,,,,,,,,,,,,,,,
turner_TE_MIA,Cole Turner,TE,MIA,,,,,,,,,,,,,,,,,,,,,,
aiyuk_WR_SF,Brandon Aiyuk,WR,SF,,,,,,,,,,,,,,,,,,,,,,
bartholomew_TE_MIN,Gavin Bartholomew,TE,MIN,,,,,,,,,,,,,,,,,,,,,,
russell_RB_SEA,Brady Russell,RB,SEA,,,,,,,,,,,,,,,,,,,,,,
tonyan_TE_PIT,Robert Tonyan,TE,PIT,,,,,,,,,,,,,,,,,,,,,,
thielen_WR_PIT,Adam Thielen,WR,PIT,,,,,,,,,,,,,,,,,,,,,,
michael_WR_GB,J. Michael Sturdivant,WR,GB,,,,,,,,,,,,,,,,,,,,,,
mcnichols_RB_WSH,Jeremy McNichols,RB,WSH,,,,,,,,,,,,,,,,,,,,,,
ham_RB_MIN,C.J. Ham,RB,MIN,,,,,,,,,,,,,,,,,,,,,,
nussmeier_QB_KC,Garrett Nussmeier,QB,KC,,,,,,,,,,,,,,,,,,,,,,
keenum_QB_CHI,Case Keenum,QB,CHI,,,,,,,,,,,,,,,,,,,,,,
yankoff_TE_WSH,Colson Yankoff,TE,WSH,,,,,,,,,,,,,,,,,,,,,,
patrick_WR_NYJ,Tim Patrick,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,
wilson_QB_NO,Zach Wilson,QB,NO,,,,,,,,,,,,,,,,,,,,,,
king_QB_CAR,Haynes King,QB,CAR,,,,,,,,,,,,,,,,,,,,,,
blair_WR_ATL,Chris Blair,WR,ATL,,,,,,,,,,,,,,,,,,,,,,
montgomery_WR_IND,D.J. Montgomery,WR,IND,,,,,,,,,,,,,,,,,,,,,,
morton_QB_NE,Behren Morton,QB,NE,,,,,,,,,,,,,,,,,,,,,,
law_WR_DET,Kendrick Law,WR,DET,,,,,,,,,,,,,,,,,,,,,,
latu_TE_NE,Cameron Latu,TE,NE,,,,,,,,,,,,,,,,,,,,,,
williams_WR_JAX,CJ Williams,WR,JAX,,,,,,,,,,,,,,,,,,,,,,
charles_WR_SEA,Irv Charles,WR,SEA,,,,,,,,,,,,,,,,,,,,,,
houston_WR_TB,Dennis Houston,WR,TB,,,,,,,,,,,,,,,,,,,,,,
ouzts_RB_SEA,Robbie Ouzts,RB,SEA,,,,,,,,,,,,,,,,,,,,,,
sharp_TE_TB,Bauer Sharp,TE,TB,,,,,,,,,,,,,,,,,,,,,,
thompson_QB_BAL,Skylar Thompson,QB,BAL,,,,,,,,,,,,,,,,,,,,,,
williams_WR_LAC,Mike Williams,WR,LAC,,,,,,,,,,,,,,,,,,,,,,
endries_TE_CIN,Jack Endries,TE,CIN,,,,,,,,,,,,,,,,,,,,,,
yurosek_TE_MIN,Ben Yurosek,TE,MIN,,,,,,,,,,,,,,,,,,,,,,
fehoko_WR_ARI,Simi Fehoko,WR,ARI,,,,,,,,,,,,,,,,,,,,,,
fidone_TE_NYG,Thomas Fidone II,TE,NYG,,,,,,,,,,,,,,,,,,,,,,
kanak_TE_TEN,Jaren Kanak,TE,TEN,,,,,,,,,,,,,,,,,,,,,,
smith_WR_CAR,Ainias Smith,WR,CAR,,,,,,,,,,,,,,,,,,,,,,
latu_TE_BUF,Keleki Latu,TE,BUF,,,,,,,,,,,,,,,,,,,,,,
matavao_TE_NO,Moliki Matavao,TE,NO,,,,,,,,,,,,,,,,,,,,,,
bentley_TE_DEN,Dallen Bentley,TE,DEN,,,,,,,,,,,,,,,,,,,,,,
thrash_WR_CLE,Jamari Thrash,WR,CLE,,,,,,,,,,,,,,,,,,,,,,
martinrobinson_TE_TEN,David Martin-Robinson,TE,TEN,,,,,,,,,,,,,,,,,,,,,,
jenkins_TE_PHI,E.J. Jenkins,TE,PHI,,,,,,,,,,,,,,,,,,,,,,
fant_TE_DAL,Princeton Fant,TE,DAL,,,,,,,,,,,,,,,,,,,,,,
westover_RB_WSH,Jack Westover,RB,WSH,,,,,,,,,,,,,,,,,,,,,,
kalinic_TE_CHI,Nikola Kalinic,TE,CHI,,,,,,,,,,,,,,,,,,,,,,
mckeon_TE_IND,Sean McKeon,TE,IND,,,,,,,,,,,,,,,,,,,,,,
